㧻破	敲破
這味產品是純天然成分煉成的,無透濫一寡有的無的.	這道產品是純天然成分煉製成的,沒有參雜一些不明添加物.
這條巷仔看都細細狹狹,二十噸的拖車竟然駛會得過.	這條巷子看起來小小窄窄的,二十噸的拖車竟然開得過去.
這馬真少用磚仔起厝,磚仔窯一間仔一間攏關起來矣.	現在很少用磚頭蓋房子, 磚窯一間間都關閉了.
這件代誌予伊舞甲按呢,有影是頭較大身,歹收尾喔!	這件事情給他弄成這樣子,真是越理越亂,難以收拾啊!
這過做風颱,真濟田園攏予大水淹去,作穡人誠離經.	這次颱風,很多田園都被洪水淹沒,農民非常悽慘.
阮阿媽雖然毋捌字,毋過伊講出喙的話攏是金言玉語.	我祖母雖然不識字,但是他說出口的話都是金玉良言.
阿三仔彼箍無路用人,干焦會曉佇牛牢內觸牛母爾爾.	阿三那個沒有用的人,只會在自己家欺負家人,對外卻完全不敢吭聲.
𪜶老母佮𪜶某袂合,伊做石磨仔心,毋知欲按怎才好.	他母親和他妻子不合,他左右為難,不知如何是好.
一寡八點檔的連續劇,拄開始真精彩,路尾就漚戲拖棚.	一些八點檔的連續劇,一開始很精彩,後來就歹戲拖棚.
人講姻緣是天註定,若是無緣,閣較按怎強求嘛無路用.	人家說緣分是上天註定的,若是沒緣分,再怎麼強求也是沒有用.
伊為著欲簽六合彩,遮問神,遐拜佛,到尾嘛是輸了了.	他為了簽賭六合彩,這邊問神,那邊拜佛,到頭來還是輸光光.
伊出業到今猶揣無頭路,臨時跔佇里長伯仔遐做小使仔.	他畢業至今還沒找到工作,暫時跟在里長伯身旁當跑腿的.
你若欲出去著愛會記得紮雨幔,等一下落雨才袂去沃著.	你如果要出門,千萬記得帶雨衣,等會兒下雨才不會淋到雨.
你若感覺你受著無合理的對待,一定愛勇敢佮對方理論.	如果你覺得受到不合理的對待,一定要勇敢和對方理論.
你有影真好命,“財子壽三字全”,予人有夠欣羨的啦!	你真的很好命,“有錢、子女多、長壽健康,三樣俱足”,讓人十分羨慕!
做粗瓷仔若無先淋碭,等燒好了後,貯水恐驚會洩出來.	做陶器要是沒先上釉,等燒好之後,裝水恐怕會滲漏出來.
古早人欲有一領仔衫通穿,著家己經布來做,真誠費氣.	以前的人要有一件衣服穿,需要自己織布製衣,非常麻煩.
咱七月半普渡彼工,菜碗著攢較腥臊咧,來拜好兄弟仔.	咱們中元普渡那天,供品得準備豐盛點,來祭拜好兄弟.
塑膠射出的成品脫模了後,邊仔一寡肉幼仔愛閣抾抾咧!	塑膠射出的成品脫模後,旁邊一些屑屑要再修一修!
大學的時,便若放假有閒,阮就會去學校的後壁山運動.	大學時期,每當放假有空,我們就會去學校的後山運動.
小說人物玉卿嫂就是佇外口飼花眉,心甘情願共伊照顧.	小說人物玉卿嫂就是在外面養小白臉,心甘情願照顧他.
彼个頭家蓋惡質,工廠刁工放予倒,家己走去外國享受.	那個老板超惡劣,工廠故意放任它倒閉,自己跑到外國去享受.
彼个嬰仔真𠢕滾躘,愛小顧咧,毋通予伊摔落去眠床跤.	那個嬰兒很會亂滾亂踢,要看著,別讓他跌到床底下去.
我遮爾仔信任你,你煞來共我欺騙,實在予人料想袂到.	我這麼信任你,你卻欺騙我,實在讓人料想不到.
我會當有今仔日的成就,著愛感謝當初時恩情人的牽成.	我能有今天的成就,得要感謝當初恩人的提拔.
查埔彼爿退婚了後,查某這爿要求愛去𪜶兜共𪜶洗門風.	男方退婚後,女方要求男方登門賠禮.
欲合股做生理我先踏話頭,聽了會當接受,才繼續來講.	要合股做生意我先把話說明,聽完可以接受,再繼續講.
老大人規日坐佇厝內,毋出去佮人開講,會一直侗戇去.	長輩整天坐在屋內,不願出去跟人攀談,就會慢慢失智.
臺灣熱人出產真濟芳甜的果子,譬論檨仔、荔枝佮芳瓜.	臺灣在夏天出產很多香甜的水果,例如芒果、荔枝和香瓜.
較早的人講,查某人月內若做了無好,後擺身體會較䆀.	以前人說,女人若在產後沒有把月子做好,以後身體會比較不好.
較早的人認為嬰仔欲號名愛根據生時日月,才號有好名.	人家說剛出生的嬰兒要取名字必須根據生辰八字,才能取到好名字.
這欉玉蘭已經咧拍莓矣,免偌久花就會一蕊一蕊相紲開.	這棵玉蘭已經結花蕾了,不用多久花就會一朵朵接續著開.
醫生理解𪜶的掛慮,徛佇同情的立場,答應共𪜶提囡仔.	醫生理解他們的掛慮,站在同情的立場,答應幫他們墮胎.
金水嬸仔三个後生攏誠有才情,毋是經理,就是董事長.	金水嬸的三個兒子都很有才華,不是經理就是董事長.
阮遮賣枷車藤的店,口味有無仝款的變化,生理誠交易.	我們這兒賣麻花的店,口味有不同的變化,生意非常熱絡.
阮規家伙仔不時趁歇睏日去海邊仔抾糞埽,做環保志工.	我們全家人時常趁著假日去海邊撿垃圾,做環保志工.
阮兜巷仔口彼擔臭豆腐,食過的人攏“呵咾甲會觸舌”.	我家巷口的那攤臭豆腐,吃過的人都“讚美有加”.
食柴的白蟻、食冊的剪蟲仔、食米的蛀龜攏總叫做蛀蟲.	吃木頭的白蟻、吃書的蠹蟲、吃米的米象都叫做蛀蟲.
食老嘛著儉寡錢銀,萬不幸若破病,才有通去予醫生看.	年老時也得存些錢財,如果不幸生病了,才有辦法去看病.
“疑人,毋成賊”,若無證據通做干證,就袂當烏白賴人.	“不能只因懷疑,便將人當賊”,如果沒有證據可以證明,就不能隨意誣賴他人.
人參是烏面賊,咱無內行,若拄著生份人來推銷,毋通買.	人蔘是真假、價值難斷之物,咱們不內行,若遇到陌生人來推銷,不要買.
伊的數學程度真好,雖然才讀國中,高中的數學嘛攏會曉.	他的數學程度很好,雖然才讀國中,高中的數學也都會.
伊逐工花天酒地,無偌久就共𪜶老爸放予伊的錢溶了了矣.	他每天花天酒地,沒多久就把他父親留給他的錢花用殆盡.
伊人艱苦厝內的人緊共送去病院,想袂到隔轉工就過身矣.	他人不舒服家人趕快送他去醫院,想不到隔天他就去世了.
伊對我遮爾好,我煞無法度共伊鬥相共,心內感覺真虧欠.	他對我這麼好,我卻無法幫他忙,內心覺得很過意不去.
伊雖然是散赤家庭出身,毋過伊無認命,拚到最後出頭天.	他雖然是清寒家庭出身,但是他不認命,拼到最終出人頭地.
伊是咱遮出名的大嚨喉空,遠遠就會當聽著伊講話的聲矣.	他是我們這裡出了名的大嗓門,遠遠地就可以聽到他的聲音了.
伊生成較懶性,若無較捷共迫促咧,工課進度會去予誤著.	他生性比較懶散,如果不經常督促他,工作進度會被耽誤到.
伊看著查某囡仔,就欲佮人膏膏纏,莫怪予人罵伊袂曉衰.	他看到年輕女子,就要跟人糾纏,難怪被人罵他不知羞恥.
佇遠遠的所在,就看會著臺中火力發電廠彼四支煙筒管矣.	在遠遠的地方,就看得到臺中火力發電廠那四根煙囪了.
你實在是儑頭儑面,伊是頭家的姨仔,你曷敢對伊大細聲.	你實在有夠不知死活,他是老闆妻子的姊妹,你怎敢對他大小聲.
初九天公生,咱做伙求天公伯仔保庇咱一家口仔平安順序.	初九天老爺老天爺誕辰公生,我們一起求老天爺保佑一家大小平安順利.
北管戲嘛叫做亂彈、子弟戲,是早期臺灣時行的傳統戲曲.	北管戲也叫做亂彈、子弟戲,是早期臺灣流行的傳統戲曲.
咱這勻的人攏較有讀冊,無像頂勻的人受教育的機會真少.	我們這一輩的人都比較有讀書,不像上一輩的人受教育的機會很少.
咱若做一擺忘恩背義的代誌,後擺就無人敢佮咱做朋友矣.	我們如果做一次忘恩負義的事情,下次就沒人敢和我們做朋友了.
外口風透,偝囡仔出門愛幔一領幔被仔,較袂予囡仔寒著.	外面風大,揹小孩子出門要蓋一條薄被,才不會讓小孩子著涼.
恁遮的少年家毋通傷衝碰,逐項代誌攏愛想予伊較斟酌咧.	你們這些年輕小伙子不要太衝動莽撞,凡事都要仔細小心地想清楚.
我轉來欲攢下晝頓,行入灶跤就看著大漢查某囝當咧煮矣.	我回來要做午飯,走進廚房就看到大女兒正在煮了.
我國校出業,考牢初中,可惜無錢通註冊,就去學做師仔.	我國小畢業,考上初中,可惜沒有錢可以註冊,就去當學徒.
拄著歹人客來咧花,咱雖然氣暢忍,嘛著好禮仔共伊安搭.	碰到難纏的客人來找碴,咱們雖然一肚子氣,也得好生安撫他.
散會的時,阮有攢三、四百塊王梨酥,佇大門口送予人客.	散會時,我們準備了三、四百塊鳳梨酥,在大門口送給客人.
早若知影會著賊偷,當初時就毋通共遮濟會仔錢留佇厝裡.	早知會遭小偷,當初就不該把這麼多互助會會錢留在家裡.
明明是伊毋著閣敢大細聲,看著我踏硬,伊毋才肯會失禮.	明明是他不對還敢大聲,看到我態度強硬,他才肯道歉.
相命仙共伊看手相講:“手縫櫳,財產空,隨趁隨空空.”	算命先生看了他的手相後說:“手指間縫隙大,財產空,馬上賺馬上空.”
這塊田是活賣的,等十年後序細有法度做的時才閣買轉來.	這塊田地是活賣的,等十年後晚輩能耕種的時候再買回來.
這塊寶石經過規千年,猶閣保存了真原全,無一屑仔缺角.	這塊寶石經過上千年,依然保存得很完整,毫無缺損.
阮頭家會用刣雞教猴的方式管理部下,予人感覺無啥爽快.	我們老闆會用殺雞儆猴的方法管理部下,讓人感覺不太舒服.
阮姪仔咧欲娶某矣,厝裡加一个孫新婦,阮小弟足歡喜的.	我姪子快要結婚了,家裡多一個姪媳婦,我的弟弟很高興.
阿英都無愛你矣,你猶閣綿死綿爛咧求伊,你哪會遮戇啦!	阿英都不愛你了,你還死心塌地地求他,你怎麼這麼傻啊!
雖然伊笨跤笨手,咱沓沓仔共教,這款工課伊嘛是做會來.	雖然他笨手笨腳的,咱們慢慢地教他,這種工作他也是做得來的.
電台節目咧推銷健康食品,定定講甲比美國仙丹閣較好用.	電台節目在推銷健康食品,常常說得比靈丹妙藥還好用.
𪜶彼个後生敢若柴頭尪仔,見擺問伊代誌攏袂曉小應一下.	他那個兒子好像木頭人,每次問他事情都不會稍微回應一下.
𪜶囝都讀大學矣,猶閣咧煩惱伊有食飯無,真正是著囝甘.	他兒子都讀大學了,還為他吃飯了沒在煩惱,未免過度為兒女操心了.
“搖人無才,搖豬無刣”,咱愛較定著咧,才袂予人看袂起.	搖來晃去的人沒有才幹,搖搖晃晃的豬,就不屠宰”,我們要穩重一點,才不會被別人瞧不起.
三噸半的貨車扣除車身重量,會使載大約一千五百公斤的貨.	三噸半的貨車扣除車身重量,可以載運大約一千五百公斤的貨.
人總是會做毋著去,你就大事化小,小事化無,放目諒情伊.	人總會犯錯,你就大事化小,小事化無,寛容原諒他.
今仔日隔壁的門口埕停幾若台高級轎車,毋知有啥物大代誌.	今天隔鄰前庭停了好幾輛高級轎車,不知道是有何大事.
代誌這馬出破矣,家己毋食認,閣硬欲賴予別人,實在無理.	現在事機敗露了,自己不承擔,還硬要賴給別人,實在沒道理.
伊自中風了後,就親像消風的雞胿仔仝款,失去人生的目標.	他自從中風以後,就像洩了氣的氣球一般,失去了人生的目標.
伊做十一哥五十冬矣,這馬才想欲娶某,人講伊是食老出癖.	他當了五十年的光棍,現在才想要結婚,人家說他是老了才出麻疹.
伊拄咧排路邊擔仔的時,因為欠本錢,就去共人貿貨底來賣.	他剛開始做路邊攤生意時,因為較欠缺本錢,就去跟人買庫存貨來賣.
伊做頭路無定性,“十二生相變透透”,莫怪逐項都做袂成.	他工作沒有定性,“各種行業都試遍”,難怪樣樣都做不成.
你愛加減運動,無,歲頭濟的時,會規身軀無氣力通好振動.	你多少要運動一下,不然,年紀大時,全身會連動都沒力氣.
你腰子無好,著比正常人食閣較汫,袂使像往過遐愛食重鹹.	你腎臟不好,得比正常人吃得更清淡,不可再像以前那麼愛吃重口味的食物.
俗語講:“甘願做牛,毋驚無犁通拖.”骨力做,就趁有食.	俗話說:“情願當牛,就不怕沒犁可拉.”只要努力工作,就能求得溫飽.
咱誠久無見面矣,有閒就加減來阮兜坐坐咧,罔破豆一下啦.	我們很久沒見面了,有空就多少來我家坐坐,稍作閒聊一下.
咱做代誌進前攏愛先想予周至,千萬毋通“上轎才欲放尿”.	我們做事情之前都得先設想周到,千萬不要“臨上轎才要尿尿”.
我共伊鬥相共,伊閣嫌我跤手慢鈍,真正是“好心予雷唚”.	我幫他的忙,他還嫌我動作遲鈍,真是“好心沒好報”.
拄才風一下吹,門雄雄迸一聲,原來是門後的門擋仔歹去矣.	剛才風一吹,門突然碰一聲,原來是門後的門擋壞掉了.
新聞報講半暝仔監獄有犯人偷走出去,今警方當咧四界搜揣.	新聞報導說半夜監獄有犯人越獄,警方正在四處搜查中.
檢方挽瓜揫藤,共所有的嫌犯攏㨑著,才做一睏總共𪜶起訴.	檢方抽絲剝繭,將所有的嫌犯都逮到,才一口氣把他們全部起訴.
毋但過冬鳥會綴季節固定遷徙,有一寡蟲豸佮魚仔嘛會按呢.	不只候鳥會隨著季節固定遷徙,有一些昆蟲及魚類也會這麼做.
狗母鮻誠少排佇魚架仔賣,上捷提來做魚丸、魚酥抑是魚拊.	狗母鮻很少直接擺在魚攤上販賣,最常拿來做魚丸、魚酥或魚鬆.
現代網路方便進步,有足濟人是佇面冊頂懸佮人相捌、盤撋.	現代網路方便進步,有很多人在臉書上面跟人認識、培養感情.
神明生欲到進前,爐主著愛去家己庄仔內的每一口灶題緣金.	神明誕辰快到之前,受圈選的信眾代表必須到自己村子內的每戶人家去勸募.
細漢的時,阮阿公就教我背冊,閣教我真濟古早人講的道理.	小時候,我祖父就教我背書,還教我許多古人說的道理.
總統府頭前的廣場有慶祝活動,四箍圍仔幾若條路攏會閘路.	總統府前的廣場有慶祝活動,四周有好幾條路都會封路.
老師共我講:“你猶少歲,日子猶誠長,前途著拍算一下.”	老師跟我說:“你還年輕,日子還很長,該為前途打算一下.”
舊曆過年有連紲一禮拜的歇假,阮規家伙仔欲來去環島旅行.	農曆過年有連續一個星期的休假,我們一家人要去環島旅行.
這个人厚話,閣講甲去去倒倒,就有人罵伊“大舌閣興喋”.	這個人話多,又說得顛三倒四,就有人罵他“口吃又愛說話”.
阿菊真擔輸贏,𪜶翁欠錢走路,伊家己拍拚趁錢替𪜶翁還數.	阿菊很服輸,他老公欠錢跑路,他自己拼命賺錢替他老公還債.
阿母用珠仔釘共褲跤的拗裒鉼予好,才用裁縫車共車予好勢.	媽媽用珠針把褲管的折邊別好,再用縫紉機把褲管車好.
除了竹仔佮七里香以外,燈仔花嘛是上捷種來做籬笆的樹仔.	除了竹子和七里香以外,朱槿也是最常種植來當圍籬的樹木.
921彼擺塗牛翻身,幌甲真嚴重,連臺北的大樓都搖甲倒去.	921那次地震,搖得很嚴重,連臺北的大樓都震垮了.
“龜跤龜內肉”,無論查某囝抑後生,攏是序大人的心肝寶貝.	“手心手背都是肉”,不論是女兒或兒子,都是父母的心肝寶貝.
“艱苦頭,快活尾”的道理人人知,毋過有擋頭的人才做會到.	“吃得苦中苦,方為人上人”的道理大家都知道,但是有毅力的人才做得到.
五日節舉辦扒龍船比賽,來看鬧熱的民眾挨挨陣陣,人插插插.	端午節舉辦划龍舟競賽,來看熱鬧的民眾擁擠雜沓,人山人海.
人講:“食佇面裡,穿佇身裡”,穿插若傷凊彩,人看袂上目.	俗話說:“吃得好,自然臉色紅潤;穿得好,自然外表體面”,穿著打扮如果太隨便,人家看不上眼.
仝祧仔內的人攏知影“人未到,聲先到”的,一定是九嬸婆仔.	同宗族的人都知道“人尚未出現,就先聽到聲音的那個大嗓門”,肯定就是九嬸婆.
伊最近變甲龜龜鱉鱉,問伊按怎,閣吞吞吐吐,毋知咧變啥魍.	他最近變得神神祕祕的,問他怎麼了,又吞吞吐吐的,不知道在搞什麼飛機.
伊見若開喙就無好話,袂輸古早人咧講的“大妗喙,拭屎桮”.	他開口就沒好話,簡直像從前的人說的“烏鴉嘴,令人作噁生厭”.
作穡人生活無好過,豐收的時農產品歹價,歹年冬閣收無通食.	農民生活不好過,豐收時農產品賤價,欠收時又入不敷出.
你這个毋成囡仔,食飽取跋筊,枉費恁爸母共你晟養甲遮大漢.	你這個小混混,吃飽只會賭博,枉費你父母把你養育得這麼大.
你定定愛家己一个走去無救生員的海邊泅水,緊縒慢會出代誌.	你老是喜歡自己一個人跑去沒有救生員的海邊游泳,早晚會出事.
卵、牛奶、肉類、豆仔類是咱人的食食當中重要的卵白質來源.	蛋、牛奶、肉類、豆類是吾人的食物當中重要的蛋白質來源
我買一支手機仔八千,煞著開萬二箍去修理,真正是頭較大身.	我買一支手機八千,卻得花一萬二去修理,真的是本末倒置.
李的足好心閣足客氣,講伊做志工干焦是咧“食飽換枵”爾爾.	老李很善良又很客氣,說他做志工只是在“消耗熱量”而已.
歹代就毋通做,愛知影“雞卵密密也有縫”,代誌早慢會煏空.	壞事不要做,要曉得“百密必有一疏”,事情早晚會敗露.
這馬代課足僫揣會著人,拜託你來拍火一下,暫代一禮拜的課.	現在代課很難找得到人,拜託你來緊急支援一下,暫代一星期的課.
這間冰店攏用在地清氣的山泉水佮各種口味的果子來做霜仔枝.	這家冰店都用在地乾淨的山泉水及各種口味的水果製作冰棒.
過年初二是查某囝日,嫁出去的查某囝攏會佇這工轉去後頭厝.	大年初二是迎婿日,嫁出去的女兒都會在這一天回娘家.
阿火叔“惜花連盆,疼囝連孫”,毋但惜查某囝,嘛足疼外孫.	阿火叔“愛屋及烏”,不但疼愛女兒,也很疼愛外孫.
頭家急欲愛的報表,你毋緊做出來,時到你會予伊揲甲金鑠鑠.	老闆急著要的報表,你不快做好,到時候你會被他修理得慘兮兮.
人講,“一人一家代,公媽隨人祀.”你哪著去管別人的代誌咧?	人家說:“一人一家事,祖先牌位各人祭祀.”你何必去管別人的事呢?
人咧講:“俗物無好貨.”你猶是閣加比較幾間仔按呢較實在啦.	人家說:“便宜沒好貨.”你還是貨比三家這樣比較實在啦.
伊定定佇這箍圍仔佮人冤家相拍,又閣欲食毋討趁,袂輸王爺咧.	他時常在這地方與人吵架、鬥毆,而且好吃懶做,簡直就像個王爺.
伊跋倒,雖然人無按怎,醫生講猶是照電光確定骨頭無含梢較好.	他跌倒了,雖然覺得沒怎樣,醫生說還是照X光確定骨骼沒裂痕比較好.
彼手機仔都已經有打對折矣,伊閣硬拗,叫店員送伊電池佮配件.	那個手機都已經打了對折了,他還強求,叫店員送他電池和配件.
新聞有咧報,興食檳榔的人,若去食著倒吊子中毒,有時會無命.	新聞有報導,嗜食檳榔的人,如果吃到倒吊子中毒,有時候會喪命.
新聞報講有一个老阿婆有夠硬插,靠家己一雙手骨咧晟三个孫仔.	新聞報導說,有一位老婦人非常堅強,靠自己雙手在扶養三個孫子.
是因為林先生共咱鬥相共代誌才會遮順序,你愛趕緊共人說多謝.	是因為林先生幫我們事情才能這麼順利,你要趕快向人家道謝.
現現都伊先出手的,今煞“拍人喝救人”,偷偷仔走去共老師投.	分明是他先動手的,現在卻“惡人先告狀”,偷偷跑去向老師告狀.
退休遐久矣,閣叫我落去舞遐大注,我都毋是咧“食飽換枵”閣.	退休那麼久了,還叫我搞那麼大的事情,我又不是“吃飽撐著沒事幹”.
這个贊助廠商有私心,共導演縛跤縛手,害伊袂當照理想去拍片.	這家贊助廠商有私心,處處限制導演,害他無法按照理想去拍片.
阮這擺的旅行團都猶有一个位,你的都合若會拄好就招你來塌縫.	我們這次的旅行團還有一個名額,你的時間如果湊巧就找你來填補空缺.
鳳尾草雖然臭賤,毋過若是熱著的時,共伊煎來做茶啉嘛誠有效.	鳳尾草雖然粗陋無華又沒什麼經濟價值,不過要是在中暑的時候將它煎煮成汁,當做飲品來喝,倒是還頗具療效.
人講:“囝婿是半子.”阿菊仔共𪜶囝婿疼命命,袂輸親生的仝款.	人家說:“女婿是半子.”阿菊疼女婿疼得要命,就如同他是親生兒子一樣.
伊自細漢就帶身命,“腹肚做藥櫥”,食藥仔會使講是閬時無閬日.	他從小就帶有慢性疾病,“肚子當藥罐”,吃藥可謂無日無之.
你講手指月娘會予月娘割耳仔,彼是欲騙囡仔的,我予你袂食聲得.	你說手指月亮會被月亮割耳朵,那是要騙小孩的,你別想騙我.
你毋通隨食飽就閣食冰、食四秀仔,才袂“食甜食鹹,臭跤鼻臁”.	你不要剛吃飽就又吃冰、吃零食,才不會“吃了甜的又吃鹹的,小腿長出瘡來”.
俗語講:“欲好額等後世,欲做官學做戲.”人猶是實實在在較好.	俗語說:“想富有等下輩子,想當官就去學做戲.”人還是要腳踏實地,實實在在比較好.
宮廟做醮乞龜保平安的時,阿爸跋上濟桮,乞著彼隻上大隻的米龜.	廟宇建醮乞龜保平安的時候,爸爸擲最多聖筊,求得那隻最大的米龜.
有一寡政治人物,干焦佇選舉的時,才較捷講母語來佮民眾跋感情.	有一些政治人物,只有在選舉時,才比較常說母語來博取民眾的好感.
算命的講伊生來是乞食命,毋過伊認真拍拚,這馬已經是大頭家矣.	算命的說他生來就是乞丐命,但他認真努力,現在已經是大老闆了.
臺南地區欲考試的囡仔會買狀元粿來食,希望會當考牢理想的學校.	臺南地區要考試的孩子會買狀元糕來吃,希望可以考上理想的學校.
金光黨一个做囮,假做有錢的戇囝,一个就鼓舞受害者去佮伊換錢.	詐騙集團一人當誘餌,裝成有錢的傻子,另一人就鼓動受害者去跟他換錢.
鋟鋟嚵,紅龜包豆餡.公仔食,婆仔罵.公仔攑扁擔,婆仔喝毋敢.	鐃鈸叮噹響,紅龜粿包豆沙餡.老公公吃,老婆婆罵.老公公舉起扁擔,老婆婆喊救命不敢.摘自蘆洲兒歌.
雞母欲生卵的時,咱先提一粒卵囥踮一跡做囮,伊就會過來生蹛遐.	母雞要生蛋時,咱們先拿一顆蛋放在一處做誘餌,牠就會過來生在那兒.
𪜶兩同姒仔感情真峇,連顧囝都相放伴,嘛會相替換載囡仔去讀冊.	他們妯娌倆感情很親密,連照顧小孩子都互相協助,也會輪流載小孩子去上學.
一粒便當趁人十箍銀,閣去予人嫌講傷貴,真正是“食米毋知米價”.	一個便當賺十塊錢,還被人嫌太貴,實在是“只知享受,不知生活疾苦的人”.
人講:“驚某大丈夫,拍某豬狗牛.”你著愛好好仔疼惜恁牽手才著.	人家說:“怕老婆是大丈夫,打老婆是豬狗牛.”你要好好疼惜你的老婆才對.
人講:“一日徙栽,三日徛黃.”若不時咧換頭路,想欲高升就僫囉.	人們說:“移植一次,蔫黃三日.”若經常換工作,恐就無法順利高升囉.
伊去媽祖宮下願,講𪜶老母的病若會好,伊就欲倩一班歌仔戲來謝神.	他到媽祖廟去許願,說他媽媽的病如果能夠好起來,他就要請一團歌仔戲表演,以酬謝神明.
伊少年的時傷過匪類,厝內一寡財產予伊敗了了,致使這馬有路無厝.	他年少時太過於放蕩,家裡一些財產被他花光光,導致現在流離失所.
伊做人真公道,自來毋捌傍官靠勢,嘛無咧看大官虎的面色來做代誌.	他為人很公正,從來不曾趨炎附勢,也沒有看權臣的臉色來做事.
你欲出去做生理,無愛閣蹛厝內,著愛尊存作穡的老爸,先佮伊參詳.	你要出去做生意,不想再待家裡,得要顧及種田的父親,先跟他商量.
俗語講:“七坐八爬九發牙”,毋過這馬的囡仔六個月就咧發奶齒矣.	俗語說:“七坐八爬九發牙”,不過現在的小孩子六個月就長乳牙了.
做研究一定愛有證據,一分證據,講一分話,才袂“三講,四毋著”.	從事研究一定要講求證據,一分證據,才說一分話,才不會“三頁裡,四個錯”.
官司來到尾站,較輸面的使倒頭槌,提出新證據,勢面反輾轉,倒贏.	官司來到尾聲,居劣勢的一方的使出回馬槍,提出新證據,局勢逆轉,反敗為勝.
彼个人客䆀閣厚屎,見擺來攏欲賒數,就像人咧講的“䆀猴𠢕欠數”.	那個客人長得醜又愛挑剔,買次來都要賒帳,就像人家說的“醜人愛賒帳”.
愈來愈濟人佇厝尾頂搭棚仔種花、種菜,會使遮日、看媠,閣有通食.	越來越多人在頂樓露臺種花、種菜,可以遮陽、觀賞,又有得吃.
朋友相請,哪著大魚大肉,人講“誠意食水甜”,路邊擔仔就足好食.	朋友請客,何必要大魚大肉,人家說“有誠意喝水都甜”,路邊攤就很好吃.
烏子仔菜除了做野菜以外,伊結的果到分變烏了後,嘛是阮的四秀仔.	龍葵可當野菜外,它結的果實成熟變黑後,也是我們的零嘴.
選舉的時,候選人定會予對頭陣營的人放紙虎,致使影響著伊的選情.	選舉期間,候選人常會被敵對陣營的人發放抹黑的傳單,以至於影響了他的選情.
人講“三分人,七分妝”,伊今仔日穿西裝閣梳海結仔頭,加足緣投的.	人家說“三分長相,七分打扮”,他今天穿西裝還梳西裝頭,更加英俊了.
以前的人對屎礐仔舀屎尿起來,囥予伊發酵過,變做大肥,就聽好沃菜.	以前的人從糞坑舀屎糞上來,放著讓它發酵後,成為糞肥,就可以澆菜.
伊講欲認真準備考試,這馬呔會閣“一日討海,三日曝網”,激放放咧.	他不是說要認真準備考試,怎麼現在又“三天打魚,兩天晒網”,裝得一副毫不在意的樣子呢.
嫁娶進前愛先探門風,俗語講:“買田愛揀好田底,娶某愛揀好娘嬭.”	結婚前要先打聽對方家庭的狀況,俗語說:“買田要選肥沃土,娶妻要選有良母.”
歹路毋通行,僥倖代毋通做,若無,“菜蟲食菜,菜跤死”,無好煞尾.	邪路不要走,不義之事不要做,否則,“終將玩火自焚”,沒有好下場.
這種代誌,你毋通予彼个放送頭知影,若無,規庄仔內的人就隨攏知矣!	這種事情,你不要讓那個大嘴巴知道,要不然,全村子的人就馬上都知道了.
過兩工仔可能有風颱,我看咱愛緊趕工共穡頭做予伊了,無,就袂赴矣.	過兩天可能有颱風,我看我們必須趕工把工作做完,不然,就來不及了.
阮遮的人較早攏坐竹棑仔過溪,有的人會用船篙撐,有的人會用船桮划.	我們這裡的人以前都坐竹筏渡河,有些人會用船篙撐,有些人會用船槳划.
食物件毋通拚遐雄勢,人講“講著食,舂破額”,你按呢袂輸枵鬼仝款.	吃東西不要如此急躁,人們說“為了吃而爭先恐後,撞破了額頭”,你這樣好像貪吃鬼一般.
人伊都“幼秀跤,好命底”,見若出門就有司機共伊載,予人有夠欣羨的.	人家他可是“富貴人家”,每每出門就有司機接送,讓人很羨慕.
人講:“愛媠毋驚流鼻水.”天氣遮爾冷,伊仝款穿遐少,攏毋驚會寒著.	所謂:“愛美不怕流鼻水.”天氣這麼冷,他照樣穿得那麼少,都不怕受涼了.
以早稻稿曝焦做稻稿草,會使𩛩肥、飼牛、燃火、崁草厝……,真有路用.	以前稻稈曬乾成稻草,能夠做成肥料、養牛、生火、覆蓋茅屋的屋頂……,很有用途.
伊干焦讀幾本外語冊,就欲允頭路做口譯的工課,實在是“胡蠅舞屎桮”!	他只不過讀了幾本外語書,就想要應徵口譯的工作,實在是太“不自量力”!
你毋通遐厚話,一支喙講袂煞,你無聽人講:“歹瓜厚子,歹人厚言語.”	你別這麼愛說話,一張嘴巴說個不停,你沒聽人家說:“壞瓜籽多,壞人話多.”
俗語講:“三年一閏,好歹照輪.”艱苦有時過,小可忍咧,就會出運矣.	俗話說:“三年一次閏月,風水輪流轉.”艱難困苦總有過去的時候,稍微忍耐一下,就會走出霉運了.
咱做人著愛謙卑,毋通臭屁,才袂予人笑講:“大鼎未滾,細鼎沖沖滾.”	我們做人得謙虛,別自吹自擂,才不會被別人笑說:“滿瓶水不響,半瓶水叮噹”.
天地萬物攏通做咱人的老師,親像“烏仔魚搢水”就啟示咱愛向困難挑戰.	天地萬物都可以成為人類之師,就像“烏魚逆水而游”啟示著我們要向困難挑戰.
我無閒甲規工攏無食物件,這馬是枵甲“大腸告小腸”,強欲接載袂牢矣.	我忙到整天都沒吃東西,現在可是餓得“肚子咕嚕咕嚕叫”,快撐不下去了.
手機仔現現都𫞼佇桌頂,你煞應講你揣無,有影是“大目新娘無看見灶”!	手機明明就擺在桌上,你卻說你找不到,真的是“眼睛大歸大,竟會連這麼顯而易見的東西也看不見”!
